x_pixel,y_pixel,R_x(pc),R_y(pc),R_z(pc),v_exp(km/s,)Flux()
49,4,0.003479,-0.036530,-0.009630,662.691962,154.237045
48,5,0.002609,-0.035660,-0.007017,634.319534,216.529541
50,5,0.004349,-0.035660,-0.002117,637.222159,155.568329
51,5,0.005219,-0.035660,-0.002122,639.210069,188.676025
52,5,0.006088,-0.035660,-0.006822,641.551475,163.609528
54,5,0.007828,-0.035660,-0.002389,647.278853,178.484085
44,6,-0.000870,-0.034790,-0.001949,617.924868,154.332932
45,6,0.000000,-0.034790,-0.002558,609.985974,156.760117
47,6,0.001740,-0.034790,-0.002695,618.484575,174.717194
48,6,0.002609,-0.034790,-0.011202,649.826635,158.157913
48,6,0.002609,-0.034790,-0.002818,619.416296,158.182297
49,6,0.003479,-0.034790,-0.014242,673.030395,164.456848
49,6,0.003479,-0.034790,-0.004438,620.718355,174.666992
49,6,0.003479,-0.034790,0.000692,613.003832,157.815857
50,6,0.004349,-0.034790,-0.012299,652.660298,160.660263
50,6,0.004349,-0.034790,-0.009370,622.388429,171.504395
51,6,0.005219,-0.034790,-0.023557,702.271270,191.224686
51,6,0.005219,-0.034790,-0.010709,637.136838,169.639282
51,6,0.005219,-0.034790,-0.009439,624.423565,216.647263
52,6,0.006088,-0.034790,-0.015000,704.403095,177.589584
52,6,0.006088,-0.034790,-0.013558,656.887874,166.424881
52,6,0.006088,-0.034790,-0.008485,626.820207,155.352798
52,6,0.006088,-0.034790,-0.004747,619.181712,166.453766
53,6,0.006958,-0.034790,-0.018724,681.206534,180.990417
53,6,0.006958,-0.034790,-0.012107,659.516348,172.109116
53,6,0.006958,-0.034790,-0.006301,642.185540,255.026321
53,6,0.006958,-0.034790,-0.003565,629.574225,177.740082
53,6,0.006958,-0.034790,-0.005930,621.969554,153.821518
54,6,0.007828,-0.034790,-0.004861,632.680955,173.115021
55,6,0.008698,-0.034790,-0.017582,712.704831,150.626511
55,6,0.008698,-0.034790,-0.002470,636.135227,152.578094
56,6,0.009567,-0.034790,-0.010469,652.342530,164.267502
56,6,0.009567,-0.034790,-0.000314,632.451291,166.695969
57,6,0.010437,-0.034790,-0.010855,673.361612,171.604736
57,6,0.010437,-0.034790,-0.011137,656.396462,164.716782
57,6,0.010437,-0.034790,-0.006241,644.063470,163.495667
57,6,0.010437,-0.034790,-0.005571,636.631898,156.488098
58,6,0.011307,-0.034790,-0.004753,648.524975,182.859772
59,6,0.012177,-0.034790,-0.010848,653.309179,156.175079
61,6,0.013916,-0.034790,-0.019423,765.542986,163.979019
61,6,0.013916,-0.034790,-0.009999,692.279949,150.511307
42,7,-0.002609,-0.033920,-0.007144,604.527233,157.672150
43,7,-0.001740,-0.033920,-0.006463,603.572529,173.585861
45,7,0.000000,-0.033920,-0.006032,615.967253,159.603058
45,7,0.000000,-0.033920,-0.003898,602.807677,156.938248
45,7,0.000000,-0.033920,-0.006270,594.860922,156.203323
46,7,0.000870,-0.033920,-0.009512,602.998981,194.260162
47,7,0.001740,-0.033920,-0.019032,657.250663,167.773834
47,7,0.001740,-0.033920,-0.010529,634.742393,172.415207
47,7,0.001740,-0.033920,-0.010278,616.715785,166.673615
47,7,0.001740,-0.033920,-0.008670,603.572529,187.729523
47,7,0.001740,-0.033920,-0.004050,595.635978,156.140411
48,7,0.002609,-0.033920,-0.010690,635.650284,179.401642
48,7,0.002609,-0.033920,-0.012421,617.650174,176.422302
48,7,0.002609,-0.033920,-0.009512,604.527233,181.198990
49,7,0.003479,-0.033920,-0.019672,659.353123,202.149200
49,7,0.003479,-0.033920,-0.017295,636.919157,162.653336
49,7,0.003479,-0.033920,-0.008243,618.955949,165.295197
49,7,0.003479,-0.033920,-0.006601,605.861292,227.404709
49,7,0.003479,-0.033920,-0.003535,597.955120,176.002914
50,7,0.004349,-0.033920,-0.020617,660.925579,164.487015
50,7,0.004349,-0.033920,-0.013645,638.546860,176.936203
50,7,0.004349,-0.033920,-0.013129,620.630766,212.438431
50,7,0.004349,-0.033920,-0.004317,607.572206,202.031998
51,7,0.005219,-0.033920,-0.017300,689.174554,167.956726
51,7,0.005219,-0.033920,-0.017364,662.842404,201.568237
51,7,0.005219,-0.033920,-0.017045,640.530658,169.921646
51,7,0.005219,-0.033920,-0.013637,622.671646,201.977737
51,7,0.005219,-0.033920,-0.008062,609.656802,217.928513
51,7,0.005219,-0.033920,-0.005462,601.800496,170.170273
52,7,0.006088,-0.033920,-0.023626,691.346764,195.615952
52,7,0.006088,-0.033920,-0.020098,665.100621,199.194000
52,7,0.006088,-0.033920,-0.016496,642.867255,225.541122
52,7,0.006088,-0.033920,-0.007769,625.075005,209.290359
52,7,0.006088,-0.033920,-0.004036,612.111264,239.060257
52,7,0.006088,-0.033920,-0.005236,604.286869,172.579666
53,7,0.006958,-0.033920,-0.026356,723.562698,151.752609
53,7,0.006958,-0.033920,-0.022311,693.844710,168.628799
53,7,0.006958,-0.033920,-0.018554,667.696765,204.062317
53,7,0.006958,-0.033920,-0.009856,645.552818,178.513046
53,7,0.006958,-0.033920,-0.009326,627.836679,201.443573
53,7,0.006958,-0.033920,-0.004712,614.931161,208.144547
53,7,0.006958,-0.033920,0.000122,607.143109,212.146378
54,7,0.007828,-0.033920,-0.014052,670.626912,155.795532
54,7,0.007828,-0.033920,-0.015306,648.583014,177.333817
54,7,0.007828,-0.033920,-0.006149,630.951964,195.363892
54,7,0.007828,-0.033920,-0.003009,618.111493,236.984192
55,7,0.008698,-0.033920,-0.019301,729.278615,152.024017
55,7,0.008698,-0.033920,-0.018288,699.803403,180.229324
55,7,0.008698,-0.033920,-0.015439,673.886705,176.872375
55,7,0.008698,-0.033920,-0.011387,651.953037,183.515854
55,7,0.008698,-0.033920,-0.012443,634.415650,224.764008
55,7,0.008698,-0.033920,-0.010571,621.646728,190.937531
56,7,0.009567,-0.033920,-0.009437,655.657647,188.682617
56,7,0.009567,-0.033920,-0.006764,638.222065,220.395966
56,7,0.009567,-0.033920,-0.007662,625.530848,178.701370
57,7,0.010437,-0.033920,-0.022263,707.018055,180.763138
57,7,0.010437,-0.033920,-0.009736,642.365117,175.340195
57,7,0.010437,-0.033920,-0.002369,629.757398,156.359726
58,7,0.011307,-0.033920,-0.020747,711.084678,152.376877
58,7,0.011307,-0.033920,-0.012666,646.838336,206.021118
