x_pixel,y_pixel,R_x(pc),R_y(pc),R_z(pc),v_exp(km/s,)Flux()
0,0,-0.039139,-0.040009,-0.059174,1443.801561,185.097076
74,0,0.025223,-0.040009,-0.016424,853.362741,157.338959
78,0,0.028702,-0.040009,-0.062718,1366.985951,150.291168
70,1,0.021744,-0.039139,0.013709,820.167758,173.933807
2,2,-0.037399,-0.038269,-0.012337,978.917254,196.708267
55,2,0.008698,-0.038269,-0.014419,718.175288,161.735519
69,2,0.020874,-0.038269,-0.046476,1127.278220,161.548950
69,2,0.020874,-0.038269,0.006407,766.952246,151.973251
73,2,0.024353,-0.038269,0.007468,797.619127,159.824936
4,3,-0.035660,-0.037399,0.020696,987.843015,162.991470
52,3,0.006088,-0.037399,-0.008380,695.659767,160.208649
47,4,0.001740,-0.036530,-0.016061,673.761593,176.606857
61,4,0.013916,-0.036530,-0.008539,696.360394,162.698120
94,4,0.042618,-0.036530,-0.067655,1503.289800,150.013931
6,5,-0.033920,-0.035660,-0.053579,1307.693388,166.463211
8,5,-0.032181,-0.035660,-0.044119,1181.041767,180.878128
50,5,0.004349,-0.035660,-0.017684,691.884692,158.482544
10,6,-0.030441,-0.034790,-0.044058,1158.860495,173.532928
13,6,-0.027832,-0.034790,0.001236,778.180614,160.343430
32,6,-0.011307,-0.034790,0.059616,1202.352043,162.730286
47,6,0.001740,-0.034790,-0.014520,645.076652,175.921356
52,6,0.006088,-0.034790,0.034272,883.919087,176.088242
57,6,0.010437,-0.034790,-0.010511,649.038777,157.555405
63,6,0.015656,-0.034790,-0.009774,699.957197,178.480148
9,7,-0.031311,-0.033920,0.012913,843.325546,158.564743
21,7,-0.020874,-0.033920,0.009328,716.139801,174.021698
54,7,0.007828,-0.033920,-0.013338,644.718959,163.797424
60,7,0.013046,-0.033920,0.049513,1072.393981,165.178421
46,8,0.000870,-0.033051,-0.069714,1277.670773,162.633438
46,8,0.000870,-0.033051,-0.000713,580.514160,161.483398
49,8,0.003479,-0.033051,-0.013106,649.583120,164.937927
50,8,0.004349,-0.033051,-0.010932,620.469726,177.013992
52,8,0.006088,-0.033051,-0.006381,602.786662,160.749542
53,8,0.006958,-0.033051,-0.014328,627.677489,158.883667
