x_pixel,y_pixel,R_x(pc),R_y(pc),R_z(pc),v_exp(km/s,)Flux()
56,6,0.009567,-0.034790,-0.026293,745.319632,152.054092
61,7,0.013916,-0.033920,-0.020618,717.234788,160.780151
63,7,0.015656,-0.033920,-0.035193,901.833555,154.381180
0,8,-0.039139,-0.033051,0.030303,1063.318080,201.029709
53,8,0.006958,-0.033051,-0.018533,711.595006,184.699051
49,9,0.003479,-0.032181,-0.026465,737.014823,153.594177
50,9,0.004349,-0.032181,-0.029718,738.421918,181.559937
50,9,0.004349,-0.032181,-0.023537,692.871153,196.522293
53,9,0.006958,-0.032181,-0.020375,699.333098,171.897598
56,9,0.009567,-0.032181,-0.022004,708.671497,155.529282
58,9,0.011307,-0.032181,-0.020601,677.712530,177.035141
63,9,0.015656,-0.032181,-0.020813,740.973979,167.127609
63,9,0.015656,-0.032181,-0.015578,703.597180,155.415848
48,10,0.002609,-0.031311,-0.022045,677.894023,169.238327
49,10,0.003479,-0.031311,-0.020398,679.083968,186.349777
50,10,0.004349,-0.031311,-0.026732,680.610840,152.814850
51,10,0.005219,-0.031311,-0.024550,728.673481,151.243835
52,10,0.006088,-0.031311,-0.028701,730.728284,156.021423
52,10,0.006088,-0.031311,-0.016777,644.029412,164.447769
52,10,0.006088,-0.031311,-0.015653,609.904490,160.994064
54,10,0.007828,-0.031311,-0.022323,690.035469,152.731323
55,10,0.008698,-0.031311,-0.023576,693.204000,255.301926
55,10,0.008698,-0.031311,-0.019915,653.099027,190.309052
56,10,0.009567,-0.031311,-0.053581,1149.188110,155.134781
56,10,0.009567,-0.031311,-0.026111,696.689294,171.078949
57,10,0.010437,-0.031311,-0.026320,700.486625,157.739105
58,10,0.011307,-0.031311,-0.024516,704.590946,160.833450
59,10,0.012177,-0.031311,-0.030438,753.573578,151.652481
64,10,0.016525,-0.031311,-0.023935,778.418018,189.192688
66,10,0.018265,-0.031311,-0.021404,747.791524,163.257309
21,11,-0.020874,-0.030441,-0.059853,1250.613302,162.243271
48,11,0.002609,-0.030441,-0.019047,623.834027,169.855743
51,11,0.005219,-0.030441,-0.021102,670.366004,166.348465
53,11,0.006958,-0.030441,-0.029024,721.835156,183.591049
53,11,0.006958,-0.030441,-0.021864,675.166273,242.837372
53,11,0.006958,-0.030441,-0.021718,633.921171,200.394974
54,11,0.007828,-0.030441,-0.021398,678.064143,204.575867
54,11,0.007828,-0.030441,-0.019729,637.006700,161.850494
55,11,0.008698,-0.030441,-0.019164,681.288352,216.854645
55,11,0.008698,-0.030441,-0.017163,640.437641,163.610916
56,11,0.009567,-0.030441,-0.025927,730.886107,301.144562
56,11,0.009567,-0.030441,-0.021713,684.834291,186.284561
56,11,0.009567,-0.030441,-0.018570,644.208475,218.480591
57,11,0.010437,-0.030441,-0.029064,734.506664,152.138626
57,11,0.010437,-0.030441,-0.023293,688.696990,219.037888
57,11,0.010437,-0.030441,-0.016433,648.313272,205.194092
58,11,0.011307,-0.030441,-0.019223,692.871153,199.613022
58,11,0.011307,-0.030441,-0.015546,652.745730,199.280640
59,11,0.012177,-0.030441,-0.024423,697.351185,211.969223
59,11,0.012177,-0.030441,-0.017340,657.499224,192.247040
60,11,0.013046,-0.030441,-0.022419,702.131232,184.552429
62,11,0.014786,-0.030441,-0.024871,712.566843,185.763565
62,11,0.014786,-0.030441,-0.019039,673.615662,178.565720
63,11,0.015656,-0.030441,-0.023789,718.209685,226.811829
64,11,0.016525,-0.030441,-0.016827,685.832853,150.335205
65,11,0.017395,-0.030441,-0.026807,730.312602,156.519562
66,11,0.018265,-0.030441,-0.024977,779.750403,165.059097
68,11,0.020004,-0.030441,-0.033739,839.469885,205.461960
69,11,0.020874,-0.030441,-0.021781,721.083876,152.328690
43,12,-0.001740,-0.029572,-0.020431,609.999097,167.170258
46,12,0.000870,-0.029572,-0.025456,700.426165,159.951645
47,12,0.001740,-0.029572,-0.016931,609.999097,181.799835
